DA_OA	DM_AF	DM_OA	JO_OF	JO_OA	KJ_OF	KJ_OA
-0.012996	-0.010051	-0.011051	-0.010797	-0.010112	-0.00853	-0.01367
-0.012903	-0.014834	-0.008415	-0.011698	-0.013426	-0.009753	-0.008895
-0.013215	-0.00791	-0.013427	-0.012971	-0.010103	-0.013385	-0.01255
-0.013234	-0.012158	-0.010823	-0.007384	-0.010657	-0.011274	-0.009263
-0.013277	-0.009223	-0.01028	-0.010461	-0.007197	-0.011793	-0.007885
-0.013315	-0.015616	-0.008656	-0.012728	-0.011062	-0.009743	-0.014945
-0.012976	-0.012495	-0.009262	-0.01063	-0.01233	-0.012925	-0.01347
-0.012932	-0.009592	-0.01432	-0.009368	-0.010937	-0.008576	-0.011376
-0.012672	-0.013703	-0.010592	-0.011704	-0.009229	-0.007188	-0.011702
-0.012723	-0.014033	-0.011227	-0.010113	-0.013341	-0.011419	-0.01043
-0.012532	-0.009903	-0.014211	-0.010399	-0.014032	-0.012217	-0.005902
-0.012586	-0.006077	-0.014697	-0.01338	-0.006847	-0.008846	-0.013415
-0.012293	-0.017546	-0.007657	-0.011101	-0.009737	-0.011964	-0.012696
-0.012853	-0.010808	-0.007219	-0.008676	-0.012309	-0.010079	-0.010061
-0.012798	-0.011316	-0.017521	-0.012187	-0.011376	-0.009662	-0.010061
-0.012676	-0.007308	-0.00577	-0.010109	-0.0071	-0.007743	-0.009586
-0.012947	-0.015323	-0.007783	-0.012021	-0.011026	-0.011247	-0.011427
-0.012884	-0.011074	-0.010254	-0.009439	-0.010176	-0.013515	-0.007194
-0.012798	-0.011959	-0.011622	-0.014486	-0.010127	-0.012116	-0.011511
-0.012783	-0.013093	-0.01106	-0.009112	-0.010022	-0.009537	-0.007102
-0.013231	-0.01218	-0.0076	-0.005709	-0.009309	-0.012408	-0.008755
-0.013218	-0.007738	-0.014349	-0.011437	-0.008141	-0.009084	-0.014316
-0.013199	-0.010461	-0.014184	-0.014402	-0.015132	-0.011814	-0.01083
-0.013074	-0.011029	-0.009327	-0.006739	-0.009286	-0.015119	-0.008642
